Datum;Name;Punkte;Geplündert
2025-12-06;RaynStäkken;690;3972
2025-12-06;Flonaemju;674;9751
2025-12-06;Phasenüberstrom;645;31227
2025-12-06;Der letzte Mohikaner;637;1927
2025-12-06;AyEmKay;639;3494
2025-12-06;DerBeste.;605;1755
2025-12-06;Zeremonienmeister;611;3528
2025-12-06;hunter300;598;28035
2025-12-06;Lord Funnyskill1;593;1366
2025-12-06;killhouse99;562;5051
2025-12-06;Oompa-Loompa;530;250
2025-12-06;Epstein Island;511;1392
2025-12-06;Tecase;507;2337
2025-12-06;Equilizer;504;0
2025-12-06;mastermajo;500;1335
2025-12-06;BaynStäler;494;471
2025-12-06;Kinorushi12;491;586
2025-12-06;ThuGLiFe2;503;2325
2025-12-06;-Itachi*;487;1745
2025-12-06;wapidi;423;1177
2025-12-06;Tageulf;379;3407
2025-12-06;Airzone811;367;186
2025-12-06;Wolfsnebel;288;401
