Datum;Name;Punkte;Geplündert
2025-12-06;Kam3lR3eiter;751;32918
2025-12-06;HauDraufderZucktNoch;702;21024
2025-12-06;Lord Dendu;680;5280
2025-12-06;Nixinator529;649;17221
2025-12-06;DBUltra84;666;994
2025-12-06;Darkdeniz;650;1442
2025-12-06;Lord Otterstedt;639;5912
2025-12-06;Wanna Play?;642;2827
2025-12-06;bioaimbottaniker;612;1188
2025-12-06;KallePeng;599;8672
2025-12-06;Garlic11;576;5553
2025-12-06;yigiyigi;572;2019
2025-12-06;Aphyron;564;6855
2025-12-06;wildork;562;3158
2025-12-06;Bastiidstein85;561;1061
2025-12-06;Jonny Tabasco;490;942
2025-12-06;xxangelsschatzxx;483;266
2025-12-06;chris1ian;479;3452
2025-12-06;Salvoo;473;414
2025-12-06;Mihir;482;8052
2025-12-06;Sickoloadeon;474;586
2025-12-06;TheRevo;437;979
2025-12-06;waan3001;430;1700
2025-12-06;Baron-Michael;420;1172
2025-12-06;DieStämme;355;250
2025-12-07;Kam3lR3eiter;811;46172
2025-12-07;HauDraufderZucktNoch;735;23980
2025-12-07;Lord Dendu;727;5280
2025-12-07;DBUltra84;698;994
2025-12-07;Wanna Play?;695;2827
2025-12-07;Nixinator529;686;17221
2025-12-07;Darkdeniz;678;2887
2025-12-07;Lord Otterstedt;661;5912
2025-12-07;KallePeng;643;8672
2025-12-07;bioaimbottaniker;634;1188
2025-12-07;Garlic11;609;22887
2025-12-07;wildork;595;9468
2025-12-07;yigiyigi;595;2019
2025-12-07;Aphyron;582;6855
2025-12-07;Bastiidstein85;580;1061
2025-12-07;xxangelsschatzxx;535;266
2025-12-07;Jonny Tabasco;528;942
2025-12-07;chris1ian;516;22046
2025-12-07;Sickoloadeon;513;586
2025-12-07;Mihir;502;8052
2025-12-07;Salvoo;486;414
2025-12-07;waan3001;454;1700
2025-12-07;TheRevo;460;979
2025-12-07;Baron-Michael;431;1172
2025-12-07;DieStämme;366;250
2025-12-08;HauDraufderZucktNoch;978;23980
2025-12-08;Lord Dendu;966;5280
2025-12-08;Wanna Play?;872;2827
2025-12-08;Nixinator529;847;17221
2025-12-08;Darkdeniz;824;2887
2025-12-08;DBUltra84;812;994
2025-12-08;Garlic11;797;22887
2025-12-08;bioaimbottaniker;825;2355
2025-12-08;Lord Otterstedt;791;7819
2025-12-08;KallePeng;754;8672
2025-12-08;yigiyigi;735;2019
2025-12-08;wildork;693;9468
2025-12-08;Aphyron;684;6855
2025-12-08;Jonny Tabasco;680;942
2025-12-08;Bastiidstein85;676;1061
2025-12-08;Kam3lR3eiter;656;46172
2025-12-08;xxangelsschatzxx;655;266
2025-12-08;chris1ian;639;22046
2025-12-08;Sickoloadeon;626;1329
2025-12-08;Salvoo;606;414
2025-12-08;Mihir;591;8052
2025-12-08;waan3001;546;1700
2025-12-08;TheRevo;489;979
2025-12-08;Baron-Michael;475;1172
2025-12-08;DieStämme;425;250
2025-12-10;Leonidas d.1;1292;20503
2025-12-10;Technomagier;1254;4886
2025-12-10;Horrorclown;1235;5027
2025-12-10;HauDraufderZucktNoch;1224;23980
2025-12-10;Lord Dendu;1215;5280
2025-12-10;Nixinator529;1167;17221
2025-12-10;bioaimbottaniker (SF);1165;3844
2025-12-10;Wanna Play?;1154;2827
2025-12-10;Darkdeniz;1089;2887
2025-12-10;DBUltra84;1025;2590
2025-12-10;Lord Otterstedt;1011;7819
2025-12-10;Jonny Tabasco;945;942
2025-12-10;yigiyigi;939;2019
2025-12-10;Aphyron;917;6855
2025-12-10;Garlic11;904;22887
2025-12-10;KallePeng;888;11995
2025-12-10;Bastiidstein85;841;1061
2025-12-10;wildork;784;9468
2025-12-10;Mihir;782;8592
2025-12-10;Salvoo;778;634
2025-12-10;chris1ian;776;22046
2025-12-10;waan3001;726;1700
2025-12-10;Sickoloadeon;712;1662
2025-12-10;Baron-Michael;556;1172
2025-12-10;TheRevo;526;979
2025-12-11;Leonidas d.1;1429;28923
2025-12-11;Technomagier;1400;4886
2025-12-11;Lord Dendu;1399;6186
2025-12-11;Horrorclown;1353;5027
2025-12-11;HauDraufderZucktNoch;1339;23980
2025-12-11;Nixinator529;1291;17221
2025-12-11;Wanna Play?;1225;2827
2025-12-11;Darkdeniz;1199;2887
2025-12-11;DBUltra84;1097;2590
2025-12-11;yigiyigi;988;2019
2025-12-11;KallePeng;989;11995
2025-12-11;loislbua;935;3887
2025-12-11;Jonny Tabasco;905;2296
2025-12-11;Bastiidstein85;895;1061
2025-12-11;Mihir;879;8592
2025-12-11;Baron-Michael;644;1428
