Datum;Name;Punkte;Geplündert
2025-12-06;yadoabi97;580;1278
2025-12-06;Yusuf mach de Bus uf;568;2827
2025-12-06;Hlsan;535;0
2025-12-06;MINDBASHER;527;0
2025-12-06;Einstein der II;507;832
2025-12-06;FrancoK;489;0
2025-12-06;The Dude;471;0
2025-12-07;Yusuf mach de Bus uf;625;2827
2025-12-07;yadoabi97;597;1278
2025-12-07;Hlsan;575;0
2025-12-07;MINDBASHER;568;0
2025-12-07;Einstein der II;520;832
2025-12-07;FrancoK;504;0
2025-12-07;The Dude;498;0
2025-12-08;Yusuf mach de Bus uf;762;2827
2025-12-08;Hlsan;719;0
2025-12-08;MINDBASHER;716;0
2025-12-08;yadoabi97;692;2626
2025-12-08;FrancoK;679;0
2025-12-08;The Dude;675;0
2025-12-08;Einstein der II;614;832
