Datum;Name;Punkte;Geplündert
2025-12-06;marrrrta;932;43970
2025-12-06;-KLASSIK-;878;36880
2025-12-06;Leonidas d.1;788;16859
2025-12-06;Technomagier;741;4886
2025-12-06;Badbos;734;47812
2025-12-06;funky7;748;20451
2025-12-06;Lord Sleifer;714;26830
2025-12-06;Error.404;702;25724
2025-12-06;Shadowhand;686;9845
2025-12-06;Nyclas;685;6081
2025-12-06;Horrorclown;670;5027
2025-12-06;.Kuma.;697;9152
2025-12-06;Momhub;643;13388
2025-12-06;Quil3z;619;8897
2025-12-06;Bavarian Kiwi;604;11535
2025-12-06;stollimaps;587;4961
2025-12-06;Savage;584;5104
2025-12-06;Robin03;588;4573
2025-12-06;Krieger0107;573;4957
2025-12-06;loislbua;562;3887
2025-12-06;demnichtzuhelfenist;531;23334
2025-12-06;CrazyTyp;518;2517
2025-12-06;mrsfluffypants;506;2243
2025-12-06;Vyrian;505;2561
2025-12-06;Michaell;490;2889
2025-12-07;marrrrta;967;56361
2025-12-07;-KLASSIK-;922;41727
2025-12-07;Leonidas d.1;847;18851
2025-12-07;Error.404;790;25724
2025-12-07;funky7;786;23600
2025-12-07;Badbos;780;68522
2025-12-07;Technomagier;768;4886
2025-12-07;Nyclas;734;6081
2025-12-07;Shadowhand;743;33200
2025-12-07;Lord Sleifer;733;31667
2025-12-07;Horrorclown;719;5027
2025-12-07;.Kuma.;712;9152
2025-12-07;Momhub;683;13388
2025-12-07;Quil3z;641;15177
2025-12-07;stollimaps;632;4961
2025-12-07;Robin03;607;6571
2025-12-07;Bavarian Kiwi;604;19341
2025-12-07;Savage;584;5104
2025-12-07;Krieger0107;575;7416
2025-12-07;loislbua;562;3887
2025-12-07;CrazyTyp;565;2517
2025-12-07;demnichtzuhelfenist;554;33983
2025-12-07;mrsfluffypants;535;2243
2025-12-07;Vyrian;511;3284
2025-12-07;Michaell;507;2889
2025-12-08;marrrrta;1186;56361
2025-12-08;Leonidas d.1;1127;19039
2025-12-08;-KLASSIK-;1108;41727
2025-12-08;Lord Sleifer;961;41154
2025-12-08;Technomagier;959;4886
2025-12-08;Shadowhand;958;33200
2025-12-08;Error.404;942;25724
2025-12-08;Horrorclown;903;5027
2025-12-08;Nyclas;874;6081
2025-12-08;.Kuma.;851;9152
2025-12-08;Bavarian Kiwi;828;31442
2025-12-08;Momhub;787;19121
2025-12-08;Quil3z;782;15177
2025-12-08;demnichtzuhelfenist;785;43900
2025-12-08;Robin03;766;6571
2025-12-08;stollimaps;750;4961
2025-12-08;Savage;738;5104
2025-12-08;loislbua;697;3887
2025-12-08;CrazyTyp;690;2517
2025-12-08;Krieger0107;670;9750
2025-12-08;mrsfluffypants;646;2243
2025-12-08;Vyrian;531;3284
