Datum;Name;Punkte;Geplündert
2024-12-01;Herr von Ribbeck;501;61140
2024-12-01;Radio Pyongyang;642;54522
2024-12-01;AngryCheesus;489;32732
2024-12-01;Fiyon;453;28120
2024-12-01;50 Shades of Hay;600;21930
2024-12-02;Herr von Ribbeck;505;62500
2024-12-02;Radio Pyongyang;645;55000
2024-12-02;AngryCheesus;492;33200
2024-12-02;Fiyon;456;28900
2024-12-02;50 Shades of Hay;603;22400
2024-12-03;Herr von Ribbeck;510;64000
2024-12-03;Radio Pyongyang;650;56500
2024-12-03;AngryCheesus;495;34000
2024-12-03;Fiyon;460;29800
2024-12-03;50 Shades of Hay;607;23000
2025-12-06;Radio Pyongyang;752;67079
2025-12-06;Herr von Ribbeck;598;61140
2025-12-06;AngryCheesus;544;46891
2025-12-06;Fiyon;509;46572
2025-12-06;50 Shades of Hay;694;32629
2025-12-06;Beer*;509;24560
2025-12-06;Furzmiteigeschmack;607;11475
2025-12-06;corsacks28;550;10465
2025-12-06;Blackfrezzy;639;9407
2025-12-06;Gpepy00;547;8111
2025-12-06;Schneefuchs;552;5704
2025-12-06;yeep;720;4752
2025-12-06;FelixP114;512;3945
2025-12-06;PengPengBoateng;542;2935
2025-12-06;gtown;481;2050
2025-12-06;Rügge;309;760
2025-12-07;Radio Pyongyang;811;71239
2025-12-07;Herr von Ribbeck;631;68318
2025-12-07;Fiyon;563;62008
2025-12-07;AngryCheesus;575;54363
2025-12-07;50 Shades of Hay;746;45017
2025-12-07;Beer*;543;37559
2025-12-07;Gpepy00;547;17859
2025-12-07;corsacks28;583;15709
2025-12-07;Furzmiteigeschmack;634;15668
2025-12-07;Blackfrezzy;639;9407
2025-12-07;Schneefuchs;591;8586
2025-12-07;yeep;746;4752
2025-12-07;FelixP114;564;3945
2025-12-07;PengPengBoateng;567;2935
2025-12-07;gtown;508;2050
2025-12-07;Rügge;327;760
2025-12-08;Fiyon;743;94455
2025-12-08;Radio Pyongyang;1025;78015
2025-12-08;Herr von Ribbeck;736;77264
2025-12-08;AngryCheesus;804;54363
2025-12-08;Beer*;735;52624
2025-12-08;50 Shades of Hay;983;48663
2025-12-08;Furzmiteigeschmack;690;27127
2025-12-08;Gpepy00;646;24251
2025-12-08;corsacks28;747;15709
2025-12-08;Blackfrezzy;745;15268
2025-12-08;Schneefuchs;755;10955
2025-12-08;yeep;883;4752
2025-12-08;FelixP114;667;3945
2025-12-08;PengPengBoateng;677;2935
2025-12-08;gtown;627;2050
2025-12-08;Rügge;369;760
2025-12-10;Fiyon;1048;106792
2025-12-10;Herr von Ribbeck;869;101923
2025-12-10;Radio Pyongyang;1424;89425
2025-12-10;AngryCheesus;1263;78857
2025-12-10;Beer*;958;64756
2025-12-10;50 Shades of Hay;1385;55064
2025-12-10;Blackfrezzy;1054;49757
2025-12-10;Gpepy00;879;48794
2025-12-10;Furzmiteigeschmack;823;46136
2025-12-10;demnichtzuhelfenist;970;43900
2025-12-10;Bavarian Kiwi;972;31442
2025-12-10;Quil3z;1076;16487
2025-12-10;corsacks28;886;15709
2025-12-10;Schneefuchs;969;12310
2025-12-10;yeep;1128;4752
2025-12-10;FelixP114;783;3945
2025-12-10;PengPengBoateng;925;3332
2025-12-10;gtown;754;2050
2025-12-10;Rügge;463;760
2025-12-11;Fiyon;1196;110307
2025-12-11;Herr von Ribbeck;1001;101923
2025-12-11;Radio Pyongyang;1624;99279
2025-12-11;AngryCheesus;1486;84783
2025-12-11;Beer*;1072;64756
2025-12-11;Blackfrezzy;1217;58606
2025-12-11;50 Shades of Hay;1584;55456
2025-12-11;Gpepy00;994;52535
2025-12-11;Furzmiteigeschmack;925;51848
2025-12-11;demnichtzuhelfenist;1005;47957
2025-12-11;Bavarian Kiwi;1043;34034
2025-12-11;corsacks28;987;23465
2025-12-11;Schneefuchs;1139;22026
2025-12-11;Quil3z;1160;19407
2025-12-11;PengPengBoateng;1003;8717
2025-12-11;FelixP114;837;6191
2025-12-11;yeep;1238;4752
2025-12-11;gtown;772;2050
2025-12-11;Rügge;498;760
