Datum;Name;Punkte;Geplündert
2025-12-06;Dark Kanima;650;3592
2025-12-06;CaesarJ;529;0
2025-12-06;Damite;504;1120
2025-12-06;Ramsi van hinten;528;0
2025-12-06;Flexwittchen;476;2752
2025-12-06;MyrtleGirl;454;0
2025-12-06;Ramm SieHart;450;0
2025-12-07;Dark Kanima;650;3592
2025-12-07;CaesarJ;556;0
2025-12-07;Damite;551;1120
2025-12-07;Ramsi van hinten;544;0
2025-12-07;MyrtleGirl;519;0
2025-12-07;Ramm SieHart;504;0
2025-12-07;Flexwittchen;479;3417
2025-12-08;Dark Kanima;781;3592
2025-12-08;CaesarJ;767;0
2025-12-08;Ramm SieHart;704;0
2025-12-08;MyrtleGirl;694;0
2025-12-08;Ramsi van hinten;669;0
2025-12-08;Damite;655;1120
2025-12-08;Flexwittchen;540;8356
2025-12-10;Dark Kanima;1067;5248
2025-12-10;CaesarJ;1030;0
2025-12-10;Ramm SieHart;1008;0
2025-12-10;MyrtleGirl;998;0
2025-12-10;Ramsi van hinten;931;0
2025-12-10;Damite;886;1120
2025-12-10;Flexwittchen;769;9777
