Datum;Name;Punkte;Geplündert
2025-12-06;GurkenGott;609;3009
2025-12-06;Dingewerdenpassieren;597;1099
2025-12-06;ReihnSnäcken;592;250
2025-12-06;mehrsaft;606;1648
2025-12-06;InNürnberg;579;328
2025-12-06;KeksKommandant;578;893
2025-12-06;SchnarchDrache;577;250
2025-12-06;Resetten;575;250
2025-12-06;WurstWächter;575;2061
2025-12-06;jonashass;573;403
2025-12-06;Gehtsweiter;570;768
2025-12-06;König xHuchx;596;938
2025-12-06;russischearmee133;552;600
2025-12-06;ToastTitan;551;929
2025-12-06;SofaSamurai;551;1603
2025-12-06;SeverinderHound;550;650
2025-12-06;Oktoberfesthannes;550;727
2025-12-06;ChaosKoala;545;360
2025-12-06;bestester acc;543;467
2025-12-06;Kirei Kotomine;521;250
2025-12-06;PixelPirat;512;665
2025-12-06;KaffeeKobold;504;2018
2025-12-06;SWORDGAI;484;2063
2025-12-06;grönlandkrieg;468;1073
2025-12-06;BrüllBanane;428;723
2025-12-07;ReihnSnäcken;638;250
2025-12-07;GurkenGott;631;3009
2025-12-07;König xHuchx;627;938
2025-12-07;Dingewerdenpassieren;624;1099
2025-12-07;mehrsaft;614;1648
2025-12-07;InNürnberg;601;328
2025-12-07;Resetten;597;250
2025-12-07;WurstWächter;597;2061
2025-12-07;jonashass;614;403
2025-12-07;SchnarchDrache;592;250
2025-12-07;KeksKommandant;578;893
2025-12-07;ChaosKoala;575;360
2025-12-07;ToastTitan;573;929
2025-12-07;SofaSamurai;573;1603
2025-12-07;SeverinderHound;572;650
2025-12-07;Oktoberfesthannes;572;727
2025-12-07;Gehtsweiter;570;768
2025-12-07;bestester acc;570;467
2025-12-07;russischearmee133;560;600
2025-12-07;PixelPirat;550;665
2025-12-07;Kirei Kotomine;543;250
2025-12-07;KaffeeKobold;510;2018
2025-12-07;SWORDGAI;484;2063
2025-12-07;grönlandkrieg;468;1073
2025-12-07;BrüllBanane;459;723
2025-12-08;Resetten;766;250
2025-12-08;WurstWächter;739;2061
2025-12-08;bestester acc;733;467
2025-12-08;ReihnSnäcken;726;250
2025-12-08;GurkenGott;724;3009
2025-12-08;KeksKommandant;720;893
2025-12-08;König xHuchx;713;938
2025-12-08;ChaosKoala;709;360
2025-12-08;InNürnberg;703;328
2025-12-08;jonashass;702;403
2025-12-08;mehrsaft;699;1648
2025-12-08;Gehtsweiter;677;768
2025-12-08;SofaSamurai;666;1603
2025-12-08;SeverinderHound;664;650
2025-12-08;Kirei Kotomine;664;250
2025-12-08;ToastTitan;656;929
2025-12-08;Oktoberfesthannes;655;727
2025-12-08;Dingewerdenpassieren;652;1099
2025-12-08;SchnarchDrache;644;250
2025-12-08;PixelPirat;643;665
2025-12-08;russischearmee133;640;600
2025-12-08;KaffeeKobold;564;2018
2025-12-08;SWORDGAI;524;2063
2025-12-08;BrüllBanane;476;723
2025-12-08;grönlandkrieg;468;1073
