Datum;Name;Punkte;Geplündert
2025-12-06;MarshallAlexa;686;10804
2025-12-06;slaid86;678;851
2025-12-06;TheNamelessCarry;656;15817
2025-12-06;Die Deckers;647;10387
2025-12-06;Ken KanekiX3;606;69797
2025-12-06;Moralisch flexibles Ego;601;58789
2025-12-06;Awesome Lordm;587;2822
2025-12-06;King Dom;572;14606
2025-12-06;Flintenminister;556;4876
2025-12-06;carrygold salty;554;29707
2025-12-06;3isk4lt;538;30381
2025-12-06;aWeSomE bIgyVeS;519;22019
2025-12-06;Miami Nights 1984;507;52035
2025-12-06;Lil Trump;498;17971
2025-12-06;TheLastMajor;490;8124
2025-12-06;Yuled54;485;2205
2025-12-06;Kakarott;483;71567
2025-12-06;qed..;481;9109
2025-12-06;BlaueAffenbande;477;38177
2025-12-06;3 Uhr Nachts;461;26132
2025-12-06;Flexi Hardweg;450;13679
2025-12-06;Premotos;376;1323
