Datum;Name;Punkte;Geplündert
2025-12-08;Kobelduk;971;88783
2025-12-08;Peitschende Hand;783;67370
2025-12-10;Kobelduk;1338;88783
2025-12-10;Jondalf;1166;40566
2025-12-10;Peitschende Hand;1137;75324
2025-12-10;bauerJnr;1119;92643
2025-12-10;Autourino;1102;37953
2025-12-10;majortom93;970;35936
2025-12-10;Leisemamba;875;44250
2025-12-10;Hunting Evil;768;26720
2025-12-10;Atilla04061;760;73208
2025-12-11;Kobelduk;1338;88783
2025-12-11;Jondalf;1328;41934
2025-12-11;bauerJnr;1222;92643
2025-12-11;Autourino;1206;37953
2025-12-11;majortom93;1142;35936
2025-12-11;Peitschende Hand;1137;75324
2025-12-11;Leisemamba;968;56701
2025-12-11;Atilla04061;913;97474
2025-12-11;Hunting Evil;903;29890
