Datum;Name;Punkte;Geplündert
2025-12-06;Shox1701;871;15071
2025-12-06;HöFi;849;22620
2025-12-06;checke12;835;58233
2025-12-06;Kartenrandcarry;825;80080
2025-12-06;johndoebronze;739;10582
2025-12-06;Schmerzen;685;21472
2025-12-06;Bananenverbiegr;684;66403
2025-12-06;Magical Ponii;660;69477
2025-12-06;König n3on;622;56364
2025-12-06;Thom3ck;507;21211
2025-12-06;only off;485;0
2025-12-06;PixelRitter87;478;0
2025-12-07;Kartenrandcarry;917;146365
2025-12-07;HöFi;916;40977
2025-12-07;Shox1701;901;23425
2025-12-07;checke12;878;69233
2025-12-07;johndoebronze;780;10582
2025-12-07;Bananenverbiegr;762;75469
2025-12-07;Magical Ponii;708;96859
2025-12-07;Schmerzen;707;24464
2025-12-07;König n3on;658;86745
2025-12-07;PixelRitter87;576;0
2025-12-07;only off;555;0
2025-12-07;Thom3ck;539;26223
2025-12-08;Kartenrandcarry;1458;213082
2025-12-08;checke12;1246;123068
2025-12-08;HöFi;1189;40977
2025-12-08;Shox1701;1149;30594
2025-12-08;Bananenverbiegr;1028;105110
2025-12-08;johndoebronze;944;10582
2025-12-08;Magical Ponii;905;128096
2025-12-08;König n3on;899;108498
2025-12-08;Schmerzen;810;24464
2025-12-08;PixelRitter87;743;0
2025-12-08;only off;698;0
2025-12-08;Thom3ck;629;27464
2025-12-10;checke12;1743;186948
2025-12-10;HöFi;1593;88462
2025-12-10;Shox1701;1482;36006
2025-12-10;Bananenverbiegr;1450;142714
2025-12-10;Magical Ponii;1373;140803
2025-12-10;König n3on;1372;145266
2025-12-10;johndoebronze;1223;10954
2025-12-10;Schmerzen;1166;112395
2025-12-10;Thom3ck;1085;178149
2025-12-10;PixelRitter87;770;13907
2025-12-10;only off;717;5392
