Datum;Name;Punkte;Geplündert
2025-12-06;Squishy;828;32049
2025-12-06;calvinho;761;31946
2025-12-06;Herrscherderwelt;751;16764
2025-12-06;das ?;738;26067
2025-12-06;Hauptschulniveau Yoo;709;12386
2025-12-06;BLUEPRINT.;705;23914
2025-12-06;Gamebabe;696;16814
2025-12-06;Rafex;687;74629
2025-12-06;Der fliegende Adler;690;15733
2025-12-06;DerZeise;656;72763
2025-12-06;KnockOut;662;34946
2025-12-06;Armourer;600;7837
2025-12-06;ferdinand08;579;3885
2025-12-06;Dummy;576;5227
2025-12-06;Winner55;575;3057
2025-12-06;hopsi genommen;581;54870
2025-12-06;Elohim;555;7279
2025-12-06;BestGame;545;1609
2025-12-06;capix;542;9793
2025-12-06;hoffigeo;534;8366
2025-12-06;Kupferium;474;10303
2025-12-06;Shapeshifter;452;5946
2025-12-06;Mike22;444;1766
2025-12-06;alsteino;443;2286
2025-12-07;Squishy;900;33224
2025-12-07;calvinho;823;34810
2025-12-07;Herrscherderwelt;805;17868
2025-12-07;das ?;784;35775
2025-12-07;Gamebabe;779;22119
2025-12-07;BLUEPRINT.;755;31841
2025-12-07;Hauptschulniveau Yoo;753;14275
2025-12-07;Rafex;743;103647
2025-12-07;Der fliegende Adler;730;29724
2025-12-07;KnockOut;706;49340
2025-12-07;DerZeise;672;72763
2025-12-07;bobi29er;652;22841
2025-12-07;Armourer;651;8845
2025-12-07;hopsi genommen;657;61429
2025-12-07;Dummy;633;5227
2025-12-07;Elohim;599;7279
2025-12-07;ferdinand08;589;4147
2025-12-07;capix;583;9793
2025-12-07;Winner55;575;3057
2025-12-07;hoffigeo;552;8366
2025-12-07;BestGame;545;1609
2025-12-07;Mike22;528;1766
2025-12-07;Kupferium;485;10303
2025-12-07;alsteino;461;2286
2025-12-07;Shapeshifter;452;5946
2025-12-08;Squishy;1175;41646
2025-12-08;Rafex;1160;134301
2025-12-08;calvinho;1051;34810
2025-12-08;BLUEPRINT.;1030;31841
2025-12-08;KnockOut;1015;55717
2025-12-08;Herrscherderwelt;1006;17868
2025-12-08;das ?;983;35775
2025-12-08;Der fliegende Adler;980;41327
2025-12-08;Gamebabe;956;22119
2025-12-08;Hauptschulniveau Yoo;978;14275
2025-12-08;hopsi genommen;886;61429
2025-12-08;bobi29er;827;22841
2025-12-08;Armourer;808;8845
2025-12-08;Dummy;808;5281
2025-12-08;capix;757;14140
2025-12-08;DerZeise;713;72763
2025-12-08;Elohim;712;7279
2025-12-08;ferdinand08;706;4782
2025-12-08;hoffigeo;688;8366
2025-12-08;BestGame;637;6539
2025-12-08;Winner55;634;10443
2025-12-08;Mike22;573;4855
2025-12-08;alsteino;556;2286
2025-12-08;Kupferium;552;10303
2025-12-10;Rafex;1613;164935
2025-12-10;Squishy;1582;43418
2025-12-10;Badbos;1519;86441
2025-12-10;KnockOut;1499;69811
2025-12-10;calvinho;1477;34810
2025-12-10;BLUEPRINT.;1472;31841
2025-12-10;marrrrta;1461;56361
2025-12-10;Der fliegende Adler;1441;58943
2025-12-10;funky7;1354;42286
2025-12-10;Lord Sleifer;1326;41154
2025-12-10;das ?;1281;35775
2025-12-10;Gamebabe;1279;22119
2025-12-10;Hauptschulniveau Yoo;1266;31061
2025-12-10;Shadowhand;1256;33574
2025-12-10;hopsi genommen;1216;61429
2025-12-10;Dummy;1147;12442
2025-12-10;bobi29er;1143;22841
2025-12-10;Herrscherderwelt;1108;17868
2025-12-10;capix;950;14140
2025-12-10;Elohim;939;7331
2025-12-10;Armourer;907;8845
2025-12-10;ferdinand08;860;4782
2025-12-10;hoffigeo;833;13884
2025-12-10;Kupferium;710;11440
2025-12-10;alsteino;707;2286
2025-12-11;Badbos;1782;86441
2025-12-11;Rafex;1743;174046
2025-12-11;BLUEPRINT.;1742;31841
2025-12-11;Squishy;1722;45856
2025-12-11;KnockOut;1654;78713
2025-12-11;marrrrta;1651;56361
2025-12-11;calvinho;1636;34810
2025-12-11;Der fliegende Adler;1631;58943
2025-12-11;Lord Sleifer;1508;41154
2025-12-11;das ?;1456;45617
2025-12-11;Hauptschulniveau Yoo;1434;31061
2025-12-11;funky7;1432;43533
2025-12-11;Error.404;1407;31311
2025-12-11;hopsi genommen;1436;80131
2025-12-11;Gamebabe;1384;22119
2025-12-11;Shadowhand;1324;33574
2025-12-11;bobi29er;1250;22841
2025-12-11;Dummy;1220;15506
2025-12-11;capix;1047;14140
2025-12-11;Elohim;1018;8080
2025-12-11;Armourer;975;8845
2025-12-11;ferdinand08;922;4782
2025-12-11;hoffigeo;900;13884
2025-12-11;Kupferium;847;26513
2025-12-11;alsteino;784;2286
