Datum;Name;Punkte;Geplündert
2024-12-01;Herr von Ribbeck;501;61140
2024-12-01;Radio Pyongyang;642;54522
2024-12-01;AngryCheesus;489;32732
2024-12-01;Fiyon;453;28120
2024-12-01;50 Shades of Hay;600;21930
2024-12-02;Herr von Ribbeck;505;62500
2024-12-02;Radio Pyongyang;645;55000
2024-12-02;AngryCheesus;492;33200
2024-12-02;Fiyon;456;28900
2024-12-02;50 Shades of Hay;603;22400
2024-12-03;Herr von Ribbeck;510;64000
2024-12-03;Radio Pyongyang;650;56500
2024-12-03;AngryCheesus;495;34000
2024-12-03;Fiyon;460;29800
2024-12-03;50 Shades of Hay;607;23000
